"price","mileage","tax","mpg","age","model","transmission","fuelType","manufacturer","model_collapsed","engineSize_int"
19795,21000,30,64.2,3,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
30799,1812,145,46.3,1,"C Class","Automatic","Petrol","Mercedes","C Class","[1.5,1.8)"
28672,29447,145,42.8,3,"GLE Class","Semi-Auto","Diesel","Mercedes","GLE Class","[2.2,5.5]"
16980,38990,125,56.5,5,"GLA Class","Semi-Auto","Diesel","Mercedes","GLA Class","2.1"
19980,19258,125,58.9,3,"E Class","Semi-Auto","Diesel","Mercedes","E Class","2.1"
20980,13253,145,61.4,1,"C Class","Semi-Auto","Diesel","Mercedes","C Class","[1.8,2.1)"
31980,13475,145,70.6,2,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
15495,72676,0,68.1625429249083,4,"C Class","Automatic","Hybrid","Mercedes","C Class","[1.8,2.1)"
26998,33544,145,56.5,3,"GLC Class","Semi-Auto","Diesel","Mercedes","GLC Class","2.1"
15998,24162,30,65.7,3,"C Class","Manual","Diesel","Mercedes","C Class","[1.5,1.8)"
19790,13621,145,45.6,1,"B Class","Semi-Auto","Petrol","Mercedes","B Class","[0.0,1.5)"
25490,23935,200,47.9,4,"GLE Class","Semi-Auto","Diesel","Mercedes","GLE Class","2.1"
14990,39473,30,62.8,4,"A Class","Manual","Diesel","Mercedes","A Class","2.1"
20990,30447,150,61.4,3,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
29991,3608,145,53.3,1,"A Class","Automatic","Petrol","Mercedes","A Class","[0.0,1.5)"
32990,1724,145,47.1,1,"SL CLASS","Automatic","Petrol","Mercedes","SL CLASS","[1.8,2.1)"
25890,2981,145,56.5,1,"A Class","Automatic","Diesel","Mercedes","A Class","[1.8,2.1)"
20498,20646,145,46.3,2,"V Class","Manual","Diesel","Mercedes","V Class","2.1"
20490,4493,145,68.9,1,"A Class","Semi-Auto","Diesel","Mercedes","A Class","[1.5,1.8)"
32305,5553,145,42.2,1,"GLC Class","Semi-Auto","Diesel","Mercedes","GLC Class","2.1"
25290,23274,160,44.1,4,"C Class","Automatic","Petrol","Mercedes","C Class","[1.8,2.1)"
43082,16386,207.740613097369,31.7,3,"C Class","Automatic","Petrol","Mercedes","C Class","[2.2,5.5]"
24065,8615,145,53.3,1,"A Class","Semi-Auto","Petrol","Mercedes","A Class","[0.0,1.5)"
23354,12527,145,61.4,2,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
50636,2172,145,36.7,1,"GLE Class","Semi-Auto","Diesel","Mercedes","GLE Class","[1.8,2.1)"
36880,3001,145,44.8,0,"GLB Class","Semi-Auto","Diesel","Mercedes","Other","[1.8,2.1)"
34255,2088,145,44.1,1,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.8,2.1)"
26420,4001,145,56.5,1,"A Class","Automatic","Diesel","Mercedes","A Class","[1.8,2.1)"
19450,42932,125,56.5,3,"GLA Class","Automatic","Diesel","Mercedes","GLA Class","2.1"
49950,5501,145,36.7,1,"GLE Class","Automatic","Diesel","Mercedes","GLE Class","[1.8,2.1)"
32455,8466,145,70.6,1,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
22594,22702,145,67.3,3,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
19590,42018,125,57.7,4,"CLS Class","Automatic","Diesel","Mercedes","CLS Class","2.1"
29650,4501,145,64.2,1,"C Class","Automatic","Diesel","Mercedes","C Class","[1.8,2.1)"
13500,54029,20,62.8,5,"CL Class","Semi-Auto","Diesel","Mercedes","CL Class","2.1"
19980,15460,145,68.9,1,"A Class","Semi-Auto","Diesel","Mercedes","A Class","[1.5,1.8)"
47980,11663,145,37.2,1,"GLS Class","Automatic","Diesel","Mercedes","Other","[2.2,5.5]"
9980,81450,30,64.2,6,"E Class","Automatic","Diesel","Mercedes","E Class","2.1"
23450,8036,145,47.9,1,"A Class","Automatic","Petrol","Mercedes","A Class","[0.0,1.5)"
27980,4197,145,44.1,1,"CL Class","Semi-Auto","Petrol","Mercedes","CL Class","[0.0,1.5)"
22980,13793,145,67.3,1,"A Class","Automatic","Diesel","Mercedes","A Class","[1.5,1.8)"
50980,2850,145,36.7,1,"GLE Class","Semi-Auto","Diesel","Mercedes","GLE Class","[1.8,2.1)"
30980,20392,200,48.7,5,"S Class","Automatic","Diesel","Mercedes","S Class","[2.2,5.5]"
25780,12856,145,72.4,1,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
34800,1563,182.60567775884,35.8,1,"X-CLASS","Automatic","Diesel","Mercedes","Other","[2.2,5.5]"
28980,31018,145,56.5,3,"GLC Class","Semi-Auto","Diesel","Mercedes","GLC Class","2.1"
42980,3999,145,28.8,0,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[2.2,5.5]"
22480,32232,160,51.4,4,"CLS Class","Automatic","Diesel","Mercedes","CLS Class","[2.2,5.5]"
26480,12677,145,72.4,1,"E Class","Semi-Auto","Diesel","Mercedes","E Class","[1.8,2.1)"
39980,3999,145,40.9,0,"GLC Class","Semi-Auto","Diesel","Mercedes","GLC Class","[1.8,2.1)"
28990,5450,145,57.7,1,"C Class","Automatic","Diesel","Mercedes","C Class","[1.8,2.1)"
16990,20415,145,65.7,3,"CL Class","Manual","Diesel","Mercedes","CL Class","2.1"
24980,6894,145,45.6,1,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.5,1.8)"
19990,22299,150,67.3,3,"CL Class","Semi-Auto","Diesel","Mercedes","CL Class","2.1"
11750,77043,20,64.2,6,"C Class","Semi-Auto","Diesel","Mercedes","C Class","2.1"
24682,3899,145,53.3,1,"A Class","Semi-Auto","Petrol","Mercedes","A Class","[0.0,1.5)"
36310,5412,145,70.6,1,"E Class","Automatic","Diesel","Mercedes","E Class","[1.8,2.1)"
29980,8202,145,44.1,1,"C Class","Semi-Auto","Petrol","Mercedes","C Class","[1.5,1.8)"
14250,84413,205,44.8,7,"M Class","Semi-Auto","Diesel","Mercedes","Other","2.1"
23950,6000,145,37.2,1,"GLA Class","Semi-Auto","Petrol","Mercedes","GLA Class","[1.5,1.8)"
15012,20339,20,74.3,4,"A Class","Semi-Auto","Diesel","Mercedes","A Class","[1.5,1.8)"
